ID ligne,ID commande,Date de commande,Date d'expédition,Statut commande,ID client,Nom du client,Segment,Ville,Région,Pays,Zone géographique,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
25,FR-20250420-8345,2025-04-20,2025-04-25,Normal,qr-19606,Augustin Lebreton de Colas,Entreprise,Saint Agnès,Poitou-Charentes,France,Nord,MOB-AR-20649450,Mobilier,Art,Hésiter compter,23.86,1,0.0,-0.22
26,FR-20240722-4786,2024-07-22,2024-07-24,Silver,HN-11584,Matthieu Allain-Leduc,Grand public,Lévêque-sur-Guillou,Languedoc-Roussillon,France,Nord,FOU-PA-80098124,Fournitures de bureau,Papier,Surtout vin,844.69,4,0.1,362.27
27,FR-20251004-7180,2025-10-04,2025-10-06,Premium,xw-18472,Éric Le Dupont,Petite et moyenne entreprise,Saint Thierrydan,Corse,France,Nord,FOU-AR-98473192,Fournitures de bureau,Art,Chez connaissance,213.85,1,0.0,-0.25
28,FR-20250908-9113,2025-09-08,2025-09-13,Premium,Wc-18018,Paulette Leroux de la Parent,Entreprise,Lacroix,Rhone-Alpes,France,Centre,MOB-BI-73191267,Mobilier,Bibliothèques,Jusque commencer,351.65,10,0.0,-161.22
29,FR-20250317-6795,2025-03-17,2025-03-20,Premium,Rl-17414,Jules Le Meyer,Grand public,Duval-sur-Fontaine,Réunion,France,Centre,FOU-ST-19025870,Fournitures de bureau,Stockage,Toujours tantôt,561.27,3,0.1,-67.2
30,FR-20250412-9549,2025-04-12,2025-04-16,Normal,Qi-11475,Benjamin Teixeira,Grand public,Chevallier,Alsace,France,Centre,MOB-ST-11998219,Mobilier,Stockage,Tantôt douceur,221.87,3,0.4,27.24
31,FR-20251028-9131,2025-10-28,2025-11-04,Normal,pQ-15228,Patrick Marques,Petite et moyenne entreprise,Martin-sur-Pons,Rhone-Alpes,France,Nord,FOU-ME-92420726,Fournitures de bureau,Meubles,Poitrine de,651.62,9,0.0,308.64
32,FR-20241228-4467,2024-12-28,2025-01-03,Premium,WI-10949,Anouk Poulain,Entreprise,Sainte ThibautBourg,Réunion,France,Nord,FOU-AR-59773458,Fournitures de bureau,Art,Corps entretenir,370.45,4,0.0,174.61
33,FR-20250626-7999,2025-06-26,2025-07-02,Normal,fr-10635,Alice Mercier,Petite et moyenne entreprise,Vidal-sur-Fleury,Champagne-Ardenne,France,Centre,FOU-ST-97710706,Fournitures de bureau,Stockage,Objet français,236.6,8,0.0,93.84
34,FR-20240315-5653,2024-03-15,2024-03-20,Normal,EJ-14929,Denis Roy,Grand public,Besnard,Bretagne,France,Centre,FOU-ME-31253770,Fournitures de bureau,Meubles,Recevoir déjà,662.69,2,0.4,123.41
35,FR-20250522-3386,2025-05-22,2025-05-27,Normal,lo-14557,Emmanuel du Evrard,Grand public,ParisVille,Aquitaine,France,Centre,MOB-ST-76540149,Mobilier,Stockage,Mot ne,565.75,1,0.4,-103.34
36,FR-20240729-7380,2024-07-29,2024-08-04,Premium,AK-13688,Gérard Dupuis,Petite et moyenne entreprise,DavidVille,Lorraine,France,Centre,MOB-AR-72842257,Mobilier,Art,Mouvement selon,339.07,3,0.0,-82.29
37,FR-20250802-3640,2025-08-02,2025-08-06,Silver,bu-12998,Jules Gautier-Fouquet,Petite et moyenne entreprise,Sainte Christelle-la-Forêt,Saint-Barthélémy,France,Nord,MOB-ME-99763111,Mobilier,Meubles,Encore dernier,762.63,6,0.4,-58.16
38,FR-20240912-2633,2024-09-12,2024-09-17,Silver,Xv-11781,Élodie du Legendre,Grand public,LombardBourg,Auvergne,France,Centre,MOB-BI-15012742,Mobilier,Bibliothèques,Prison jeune,790.46,5,0.0,-372.51
39,FR-20250603-4425,2025-06-03,2025-06-07,Silver,BC-17933,Patricia Lecomte,Petite et moyenne entreprise,Saint Arnaude,Île-de-France,France,Centre,FOU-ME-52249800,Fournitures de bureau,Meubles,Compte écraser,104.79,2,0.1,-10.42
40,FR-20250517-2816,2025-05-17,2025-05-20,Normal,iB-11649,Pénélope Louis,Petite et moyenne entreprise,Fischer,Limousin,France,Centre,FOU-PA-84508255,Fournitures de bureau,Papier,Lutte étendue,58.15,1,0.0,-19.48
41,FR-20240616-8444,2024-06-16,2024-06-20,Normal,ZO-18306,Christiane Louis,Grand public,Barthelemy,Île-de-France,France,Centre,MOB-BI-90182267,Mobilier,Bibliothèques,Auprès ce,828.88,7,0.1,-100.54
42,FR-20250922-7738,2025-09-22,2025-09-27,Silver,lq-12434,Christiane Fernandez,Entreprise,Legros-sur-Mer,Midi-Pyrénées,France,Nord,MOB-BI-65895546,Mobilier,Bibliothèques,Violent chant,43.87,1,0.0,1.66
43,FR-20240717-3605,2024-07-17,2024-07-20,Premium,VK-12909,Audrey Bouvet,Petite et moyenne entreprise,Maurice-sur-Diallo,Réunion,France,Nord,MOB-ST-33455693,Mobilier,Stockage,Vif tracer,461.33,2,0.1,79.4
44,FR-20240807-1175,2024-08-07,2024-08-14,Silver,ov-17104,Christelle Moulin,Entreprise,Thierry-sur-Marie,Corse,France,Centre,FOU-PA-88019271,Fournitures de bureau,Papier,Cent heure,957.85,7,0.1,20.69
45,FR-20240426-5470,2024-04-26,2024-04-29,Silver,al-19913,Alfred Texier,Grand public,Devaux-sur-Mer,Aquitaine,France,Nord,FOU-PA-48359169,Fournitures de bureau,Papier,Près embrasser,39.24,4,0.0,14.8
46,FR-20250712-3494,2025-07-12,2025-07-16,Silver,Hi-10618,Nicolas Jacquot,Petite et moyenne entreprise,Vallée-sur-Mer,Haute-Normandie,France,Nord,FOU-PA-78838118,Fournitures de bureau,Papier,Maladie machine,356.74,10,0.4,-36.04
47,FR-20250917-4251,2025-09-17,2025-09-22,Premium,DH-19314,Anne-Caroline Lévêque,Entreprise,Sainte Élisabeth-les-Bains,Corse,France,Nord,MOB-ST-58204038,Mobilier,Stockage,Révolution étouffer,234.68,6,0.0,-83.44
48,FR-20241011-5615,2024-10-11,2024-10-15,Normal,rM-13771,Louis de Da Costa,Petite et moyenne entreprise,Lamy-sur-Joly,Centre,France,Centre,FOU-ME-76807831,Fournitures de bureau,Meubles,Vide chose,302.96,1,0.1,69.08
49,FR-20240721-1596,2024-07-21,2024-07-24,Normal,pq-13355,Richard Le Brunel,Entreprise,Gauthier,Réunion,France,Centre,MOB-ME-46144940,Mobilier,Meubles,État envie,443.77,5,0.0,-198.42
50,FR-20240503-8667,2024-05-03,2024-05-08,Premium,jx-19935,Hortense Ribeiro,Petite et moyenne entreprise,Arnaud,Centre,France,Nord,FOU-ME-27303495,Fournitures de bureau,Meubles,Rapport pièce,96.45,7,0.0,19.68
51,FR-20250128-3121,2025-01-28,2025-02-02,Normal,ML-12168,Antoine Cordier,Grand public,Vaillant,Saint-Barthélémy,France,Centre,MOB-ME-39648870,Mobilier,Meubles,Planche père,216.91,4,0.1,86.18
52,FR-20250813-1703,2025-08-13,2025-08-17,Silver,mk-16240,Martine Delorme,Entreprise,Pascal-sur-Mer,Languedoc-Roussillon,France,Centre,MOB-PA-11416334,Mobilier,Papier,Inventer aider,839.41,2,0.1,-53.64
53,FR-20251006-9483,2025-10-06,2025-10-09,Premium,qR-13333,Henri Pottier,Petite et moyenne entreprise,Roussel-sur-Andre,Bretagne,France,Nord,MOB-BI-41803450,Mobilier,Bibliothèques,Étage aujourd'hui,911.41,7,0.4,127.75
54,FR-20241122-9199,2024-11-22,2024-11-27,Normal,WJ-14793,Pauline Auger,Petite et moyenne entreprise,Valentindan,Picardie,France,Centre,FOU-PA-62421141,Fournitures de bureau,Papier,Naissance haine,431.38,2,0.4,71.21
55,FR-20240328-2317,2024-03-28,2024-04-01,Premium,nY-11831,André Toussaint,Grand public,Foucher,Alsace,France,Nord,FOU-BI-99775491,Fournitures de bureau,Bibliothèques,Table compte,540.3,2,0.4,135.75
56,FR-20231219-1551,2023-12-19,2023-12-23,Normal,if-17045,Margaux Camus,Grand public,Couturierdan,Polynésie française,France,Centre,MOB-ME-23783207,Mobilier,Meubles,Ordre nerveux,847.68,6,0.1,-292.01
57,FR-20240530-4505,2024-05-30,2024-06-01,Premium,NC-18911,Madeleine Delaunay,Grand public,Sainte Claudine,Limousin,France,Centre,FOU-PA-54118860,Fournitures de bureau,Papier,Vague respecter,677.33,7,0.1,-109.72
58,FR-20240920-7083,2024-09-20,2024-09-26,Silver,LR-18342,Nath-Michelle Andre,Entreprise,Tessiernec,Guyane,France,Nord,MOB-PA-53120600,Mobilier,Papier,Exécuter respect,42.4,1,0.1,-6.99
59,FR-20240918-7410,2024-09-18,2024-09-23,Normal,Cp-16084,Vincent Morin-Denis,Entreprise,Faure-les-Bains,Corse,France,Nord,FOU-PA-91762298,Fournitures de bureau,Papier,Etc fauteuil,168.88,4,0.4,-11.67
60,FR-20250119-7692,2025-01-19,2025-01-24,Silver,nD-16721,Christine Carre,Petite et moyenne entreprise,Jean-sur-Allard,Corse,France,Nord,FOU-ST-11686342,Fournitures de bureau,Stockage,Français puis,12.02,3,0.4,2.72
61,FR-20241002-4787,2024-10-02,2024-10-09,Premium,iz-10603,Thibault Étienne,Petite et moyenne entreprise,TeixeiraBourg,Corse,France,Nord,MOB-AR-45475354,Mobilier,Art,Précipiter moitié,189.91,1,0.0,-75.05
62,FR-20250907-6281,2025-09-07,2025-09-12,Silver,hL-12427,Adrien Couturier de la Martin,Petite et moyenne entreprise,Dupré,Champagne-Ardenne,France,Nord,FOU-ME-92382732,Fournitures de bureau,Meubles,Nation crier,512.4,6,0.1,33.28
63,FR-20250621-6164,2025-06-21,2025-06-23,Silver,HV-17528,Honoré Riou,Grand public,Lopez,Saint-Barthélémy,France,Centre,MOB-PA-93472797,Mobilier,Papier,Après sourd,339.6,2,0.1,53.52
64,FR-20241115-6018,2024-11-15,2024-11-20,Premium,bM-15299,Patrick Lopes,Entreprise,Guillou,Lorraine,France,Centre,MOB-ME-58696029,Mobilier,Meubles,Profiter petit,332.5,7,0.1,-128.19
65,FR-20250602-9045,2025-06-02,2025-06-04,Silver,zh-13643,Roger Fouquet,Petite et moyenne entreprise,Mathieu,Polynésie française,France,Centre,FOU-PA-81639961,Fournitures de bureau,Papier,An peu,460.79,1,0.4,-83.15
66,FR-20231224-2345,2023-12-24,2023-12-30,Silver,yb-19788,Suzanne Fernandez,Entreprise,Hernandez,Martinique,France,Nord,MOB-ST-18435730,Mobilier,Stockage,Titre complètement,937.17,5,0.1,-104.86
67,FR-20250210-3445,2025-02-10,2025-02-15,Premium,cK-16903,Christophe Jacques,Petite et moyenne entreprise,Morvan,Guyane,France,Centre,MOB-PA-70033179,Mobilier,Papier,Voisin existence,712.1,3,0.1,-108.85
68,FR-20250612-8305,2025-06-12,2025-06-18,Premium,mM-18537,Suzanne-Maggie Guérin,Petite et moyenne entreprise,Schmitt-la-Forêt,Île-de-France,France,Nord,MOB-ST-43763350,Mobilier,Stockage,Armer seconde,606.29,8,0.0,-150.32
69,FR-20240114-8308,2024-01-14,2024-01-21,Premium,Xg-14635,Monique Valette,Petite et moyenne entreprise,Ledouxnec,Mayotte,France,Nord,FOU-ST-77603660,Fournitures de bureau,Stockage,Toit triste,116.11,5,0.0,-38.31
70,FR-20241021-8595,2024-10-21,2024-10-27,Silver,Cu-19670,Alexandre Verdier,Petite et moyenne entreprise,Vallée-la-Forêt,Languedoc-Roussillon,France,Centre,MOB-ST-57386049,Mobilier,Stockage,Garder tomber,599.52,3,0.4,-27.9
71,FR-20250402-1078,2025-04-02,2025-04-06,Premium,KO-19691,Juliette Berthelot,Entreprise,Schneider-la-Forêt,Saint-Pierre-et-Miquelon,France,Nord,FOU-ST-34926939,Fournitures de bureau,Stockage,Espèce bientôt,590.2,1,0.4,141.29
72,FR-20240524-7461,2024-05-24,2024-05-29,Premium,am-14376,Pauline Ollivier-Leroy,Grand public,Joubert,Martinique,France,Nord,FOU-PA-60617348,Fournitures de bureau,Papier,Objet obtenir,733.19,4,0.1,-75.3
73,FR-20241109-1176,2024-11-09,2024-11-13,Silver,PT-17968,Claude-Laure Bazin,Grand public,Parent-sur-Bonnet,Saint-Martin,France,Nord,FOU-ST-93581782,Fournitures de bureau,Stockage,Réduire intérieur,461.67,1,0.1,25.27
74,FR-20240202-5842,2024-02-02,2024-02-05,Normal,vh-12152,Camille du Morin,Grand public,Martineau-les-Bains,Île-de-France,France,Nord,FOU-PA-36694404,Fournitures de bureau,Papier,Essuyer prouver,884.61,10,0.4,26.78
75,FR-20241222-7645,2024-12-22,2024-12-24,Normal,vE-13441,Laure Benard,Entreprise,Saint Lucedan,Franche-Comté,France,Nord,FOU-BI-49968520,Fournitures de bureau,Bibliothèques,Naturel profond,952.59,2,0.0,-211.63
76,FR-20241224-5446,2024-12-24,2024-12-29,Silver,oq-11315,Eugène Aubry-Evrard,Entreprise,Sainte Jérôme-sur-Mer,Aquitaine,France,Nord,MOB-AR-76140967,Mobilier,Art,Titre monde,751.65,4,0.0,-112.23
77,FR-20250307-8707,2025-03-07,2025-03-13,Silver,bD-12781,Diane De Oliveira,Grand public,Saint Stéphanie,Alsace,France,Centre,MOB-AR-29758841,Mobilier,Art,Patron sommet,314.89,9,0.0,103.71
78,FR-20241127-4726,2024-11-27,2024-11-30,Silver,yf-11629,André Alves,Petite et moyenne entreprise,Bruneau-sur-Mer,Pays-de-Loire,France,Nord,MOB-ST-14355470,Mobilier,Stockage,Désir confiance,69.29,9,0.4,15.08
79,FR-20251005-7145,2025-10-05,2025-10-11,Silver,AS-19924,Xavier Cousin,Grand public,Saint Julie-sur-Mer,Limousin,France,Nord,MOB-PA-59566325,Mobilier,Papier,Soleil fils,630.15,3,0.0,239.92
80,FR-20231213-2204,2023-12-13,2023-12-15,Premium,Qd-12968,Paulette Adam de Robert,Grand public,Pasquier,Corse,France,Centre,MOB-BI-10396891,Mobilier,Bibliothèques,Rejeter mort,159.98,10,0.0,-31.9
81,FR-20241112-2807,2024-11-12,2024-11-19,Silver,OU-17160,Valérie Guilbert,Entreprise,Martins-les-Bains,Champagne-Ardenne,France,Nord,MOB-PA-16957401,Mobilier,Papier,Page pur,520.75,4,0.1,233.5
82,FR-20240429-5793,2024-04-29,2024-05-05,Premium,aY-14876,Amélie Chartier,Grand public,RivièreVille,Saint-Pierre-et-Miquelon,France,Nord,FOU-PA-13759952,Fournitures de bureau,Papier,Fait profond,971.8,1,0.1,130.76
83,FR-20250523-9960,2025-05-23,2025-05-27,Silver,eX-19773,Catherine Barre,Grand public,Breton,Île-de-France,France,Nord,MOB-PA-27059771,Mobilier,Papier,Haïr enfoncer,448.71,6,0.0,-43.21
84,FR-20250813-3487,2025-08-13,2025-08-16,Premium,bQ-15024,Hélène Martins,Grand public,Aubert,Haute-Normandie,France,Nord,FOU-BI-13478685,Fournitures de bureau,Bibliothèques,Souvent ni,92.07,10,0.1,39.8
85,FR-20240902-9491,2024-09-02,2024-09-06,Silver,bR-17664,Jules Boulanger de la Weiss,Entreprise,Pelletier-la-Forêt,Centre,France,Centre,FOU-BI-11942013,Fournitures de bureau,Bibliothèques,Éprouver heure,14.09,3,0.0,-4.92
86,FR-20240409-9437,2024-04-09,2024-04-12,Premium,am-15977,Marie de Vincent,Entreprise,Lebrun,Centre,France,Centre,FOU-BI-85878746,Fournitures de bureau,Bibliothèques,Drame découvrir,226.27,8,0.0,-67.85
87,FR-20241122-4741,2024-11-22,2024-11-25,Normal,cA-17126,Olivier Barre,Grand public,Weiss-la-Forêt,Centre,France,Centre,MOB-ST-10340882,Mobilier,Stockage,Attitude ruine,118.83,9,0.0,9.8
88,FR-20251128-5486,2025-11-28,2025-12-03,Premium,kN-14603,Robert Le Vallée,Petite et moyenne entreprise,Toussaint-la-Forêt,Île-de-France,France,Nord,MOB-ME-65519753,Mobilier,Meubles,Ou ennemi,930.49,10,0.1,-396.72
89,FR-20250829-6599,2025-08-29,2025-08-31,Premium,lh-15635,Thierry Marchal,Petite et moyenne entreprise,Laroche,Guadeloupe,France,Centre,MOB-AR-46148380,Mobilier,Art,Réponse cou,432.27,4,0.0,-46.76
90,FR-20240311-9277,2024-03-11,2024-03-17,Silver,my-19860,Arthur Texier,Grand public,Cousin-sur-Marchal,Franche-Comté,France,Centre,FOU-ST-83271913,Fournitures de bureau,Stockage,Règle éteindre,990.38,1,0.0,-276.13
91,FR-20240308-4869,2024-03-08,2024-03-15,Premium,od-12707,Alphonse Martineau-Riou,Petite et moyenne entreprise,Goncalves-la-Forêt,Île-de-France,France,Nord,FOU-AR-53012735,Fournitures de bureau,Art,Habitant absolument,555.68,9,0.4,-120.63
92,FR-20250824-3737,2025-08-24,2025-08-27,Normal,hp-15370,Gilles Perrot,Petite et moyenne entreprise,Schneider,Corse,France,Centre,FOU-AR-87966423,Fournitures de bureau,Art,Permettre haut,214.41,3,0.0,-17.1
93,FR-20240610-7962,2024-06-10,2024-06-15,Silver,xa-18216,Théodore Simon,Grand public,Rivièreboeuf,Auvergne,France,Nord,FOU-ME-12109114,Fournitures de bureau,Meubles,Art faux,235.3,1,0.4,6.56
94,FR-20240129-2322,2024-01-29,2024-02-01,Silver,vZ-10168,Madeleine Payet,Petite et moyenne entreprise,Michel,Nord-Pas-de-Calais,France,Nord,MOB-BI-87545099,Mobilier,Bibliothèques,Grand bête,132.59,7,0.0,48.14
95,FR-20250709-1002,2025-07-09,2025-07-12,Silver,uo-16482,Nicolas Le Chauveau,Petite et moyenne entreprise,Michaud,Aquitaine,France,Centre,MOB-PA-61463755,Mobilier,Papier,Permettre soleil,908.57,9,0.0,-194.92
96,FR-20250306-8711,2025-03-06,2025-03-13,Normal,fG-15886,Marguerite-Frédérique Lacombe,Grand public,Valette,Midi-Pyrénées,France,Nord,FOU-ST-27252086,Fournitures de bureau,Stockage,Grâce chasser,756.98,3,0.4,-102.51
97,FR-20241122-8785,2024-11-22,2024-11-26,Silver,ng-17956,Étienne Nicolas-Barre,Entreprise,Lacroix,Poitou-Charentes,France,Centre,MOB-ST-93379755,Mobilier,Stockage,Haut chasser,652.45,2,0.1,104.53
98,FR-20240131-1997,2024-01-31,2024-02-05,Premium,lN-11804,Nicolas du Lebrun,Petite et moyenne entreprise,Lebon-les-Bains,Limousin,France,Nord,MOB-AR-93798031,Mobilier,Art,Chercher chaud,854.12,3,0.1,263.82
99,FR-20251030-5087,2025-10-30,2025-11-02,Premium,tI-11629,Anouk Philippe,Petite et moyenne entreprise,Saint FranckVille,Martinique,France,Centre,MOB-ST-40722107,Mobilier,Stockage,Cher aide,706.75,9,0.1,-186.52
100,FR-20250224-6652,2025-02-24,2025-02-26,Premium,JL-17150,Thibault Martel,Petite et moyenne entreprise,Leblancdan,Haute-Normandie,France,Centre,MOB-BI-17343738,Mobilier,Bibliothèques,Éclat durer,345.69,9,0.4,16.4
101,FR-20240521-6807,2024-05-21,2024-05-25,Silver,rD-17345,Claire Cousin,Entreprise,Guérin-sur-Deschamps,Alsace,France,Nord,MOB-ME-20236459,Mobilier,Meubles,An soudain,994.77,6,0.0,241.27
102,FR-20250808-1895,2025-08-08,2025-08-14,Silver,VE-11832,Paul Hubert,Entreprise,Saint Anastasie-la-Forêt,Réunion,France,Nord,FOU-ST-58340602,Fournitures de bureau,Stockage,Toujours jouer,631.9,5,0.1,143.94
103,FR-20240723-8892,2024-07-23,2024-07-25,Silver,Fi-10254,Édith Rémy,Entreprise,Sainte Agathe,Nouvelle-Calédonie,France,Centre,FOU-AR-88929664,Fournitures de bureau,Art,Soin ciel,638.24,8,0.1,-263.58
104,FR-20240705-8419,2024-07-05,2024-07-11,Premium,iG-16921,Guillaume Tessier,Entreprise,Bourdon-sur-Alves,Lorraine,France,Centre,MOB-ME-42959085,Mobilier,Meubles,Pendre jeune,308.74,7,0.1,-26.73
105,FR-20240212-2795,2024-02-12,2024-02-15,Silver,Fx-10236,Éric Raymond-Torres,Petite et moyenne entreprise,Poulain,Province-Alpes-Côte d'Azur,France,Centre,FOU-PA-79829024,Fournitures de bureau,Papier,Calmer regarder,721.98,2,0.0,96.75
106,FR-20250105-5592,2025-01-05,2025-01-07,Normal,jL-18305,Marcelle Menard,Entreprise,BeckerVille,Bourgogne,France,Nord,FOU-PA-18325281,Fournitures de bureau,Papier,Art genre,288.23,8,0.1,-106.47
107,FR-20241029-3453,2024-10-29,2024-11-05,Silver,DG-18302,Odette Le Goff,Petite et moyenne entreprise,Fouquet,Corse,France,Centre,MOB-ME-86829870,Mobilier,Meubles,Discussion attendre,882.08,3,0.1,3.41
108,FR-20250404-3703,2025-04-04,2025-04-08,Normal,Gg-17063,Audrey Nguyen,Petite et moyenne entreprise,Ferrand,Franche-Comté,France,Centre,MOB-PA-52507225,Mobilier,Papier,Jeunesse jambe,730.29,7,0.4,206.29
109,FR-20241014-9538,2024-10-14,2024-10-16,Silver,Nw-16539,Stéphane Leroy,Grand public,Sainte Éricboeuf,Champagne-Ardenne,France,Nord,FOU-PA-31968160,Fournitures de bureau,Papier,Exposer noire,457.89,1,0.1,-9.25
110,FR-20231221-1387,2023-12-21,2023-12-26,Silver,TL-18412,Sylvie Pottier,Petite et moyenne entreprise,Vincent,Franche-Comté,France,Centre,FOU-BI-76757737,Fournitures de bureau,Bibliothèques,Habiller terre,371.49,9,0.1,-46.47
111,FR-20250713-4503,2025-07-13,2025-07-17,Premium,KE-15917,Thomas-Franck Besnard,Entreprise,Valentin,Rhone-Alpes,France,Nord,MOB-AR-25160118,Mobilier,Art,Jambe répéter,308.81,8,0.1,-9.75
112,FR-20251109-9951,2025-11-09,2025-11-13,Silver,VJ-18473,Catherine Le Morvan,Entreprise,Leconte,Bourgogne,France,Nord,FOU-PA-23896893,Fournitures de bureau,Papier,Nous prison,933.81,10,0.1,-278.12
